Date,Close,High,Low,Open,Volume
2021-07-22T00:00:00.000,15824.0498,15834.7998,15726.40039,15736.59961,265300
2021-07-23T00:00:00.000,15856.0498,15899.7998,15768.40039,15856.7998,294100
2021-07-26T00:00:00.000,15824.4502,15893.34961,15797,15849.2998,267100
2021-07-27T00:00:00.000,15746.4502,15881.5498,15701,15860.5,311000
2021-07-28T00:00:00.000,15709.40039,15767.5,15513.4502,15761.5498,318600
2021-07-29T00:00:00.000,15778.4502,15817.34961,15737.7998,15762.7002,401600
2021-07-30T00:00:00.000,15763.0498,15862.7998,15744.84961,15800.59961,400000
2021-08-02T00:00:00.000,15885.15039,15892.90039,15834.65039,15874.90039,244800
2021-08-03T00:00:00.000,16130.75,16146.90039,15914.34961,15951.5498,341300
2021-08-04T00:00:00.000,16258.7998,16290.2002,16176.15039,16195.25,427300
2021-08-05T00:00:00.000,16294.59961,16349.4502,16210.2998,16288.9502,418200
2021-08-06T00:00:00.000,16238.2002,16336.75,16223.2998,16304.40039,320100
2021-08-09T00:00:00.000,16258.25,16320.75,16179.0498,16281.34961,240500
2021-08-10T00:00:00.000,16280.09961,16359.25,16202.25,16274.7998,288000
2021-08-11T00:00:00.000,16282.25,16338.75,16162.5498,16327.2998,277900
2021-08-12T00:00:00.000,16364.40039,16375.5,16286.90039,16303.65039,280200
2021-08-13T00:00:00.000,16529.09961,16543.59961,16376.2998,16385.69922,321900
2021-08-16T00:00:00.000,16563.05078,16589.40039,16480.75,16518.40039,254000
2021-08-17T00:00:00.000,16614.59961,16628.55078,16495.40039,16545.25,297400
2021-08-18T00:00:00.000,16568.84961,16701.84961,16535.84961,16691.94922,251800
2021-08-20T00:00:00.000,16450.5,16509.55078,16376.0498,16382.5,350800
2021-08-23T00:00:00.000,16496.44922,16592.5,16395.69922,16592.25,275600
2021-08-24T00:00:00.000,16624.59961,16647.09961,16495.30078,16561.40039,275400
2021-08-25T00:00:00.000,16634.65039,16712.44922,16617.5,16654,265900
2021-08-26T00:00:00.000,16636.90039,16683.69922,16603.40039,16627.94922,253500
2021-08-27T00:00:00.000,16705.19922,16722.05078,16565.59961,16642.55078,217400
2021-08-30T00:00:00.000,16931.05078,16951.5,16764.84961,16775.84961,283500
2021-08-31T00:00:00.000,17132.19922,17153.5,16915.84961,16947.5,464400
2021-09-01T00:00:00.000,17076.25,17225.75,17055.05078,17185.59961,301900
2021-09-02T00:00:00.000,17234.15039,17245.5,17059.69922,17095.40039,242400
